StudentID,Name,Gender,Age,Class,Maths,Science,English,Attendance,City
1088,Student_88,F,15,10,48,38,74,88,Agra
1089,Student_89,M,16,11,44,66,48,92,Jaipur
1090,Student_90,M,17,12,40,79,89,91,Kanpur
1091,Student_91,F,15,10,36,88,97,73,Agra
1092,Student_92,F,16,11,54,90,57,93,Jaipur
1093,Student_93,F,17,12,94,90,69,80,Lucknow
1094,Student_94,F,15,10,92,66,94,88,Agra
1095,Student_95,M,16,11,98,76,58,85,Lucknow
1096,Student_96,F,16,11,78,70,70,87,Delhi
1097,Student_97,M,17,12,45,65,87,85,Lucknow
1098,Student_98,F,17,12,97,92,37,72,Jaipur
1099,Student_99,F,15,10,66,74,82,85,Kanpur
1100,Student_100,F,16,11,80,93,69,79,Jaipur
1101,Student_101,M,15,10,59,75,50,93,Gurugram
1102,Student_102,M,15,10,96,70,71,73,Lucknow
1103,Student_103,M,16,11,81,57,73,70,Gurugram
1104,Student_104,M,16,11,41,72,51,90,Ghaziabad
1105,Student_105,M,15,10,71,95,96,84,Kanpur
1106,Student_106,M,15,10,67,96,49,96,Noida
1107,Student_107,F,16,11,44,41,54,74,Jaipur
1108,Student_108,M,15,10,50,88,63,94,Agra
1109,Student_109,F,16,11,73,89,74,88,Delhi
1110,Student_110,M,17,12,61,62,68,91,Noida
1111,Student_111,M,15,10,57,44,55,70,Agra
1112,Student_112,F,16,11,72,39,64,79,Jaipur
1113,Student_113,F,17,12,44,64,68,95,Lucknow
1114,Student_114,M,16,11,63,54,69,96,Gurugram
1115,Student_115,M,15,10,56,74,71,84,Noida
1116,Student_116,F,16,11,86,69,99,87,Ghaziabad
1117,Student_117,M,16,11,40,90,76,89,Jaipur
1118,Student_118,M,15,10,64,37,69,88,Delhi
1119,Student_119,F,15,10,91,70,58,88,Agra
1120,Student_120,F,17,12,46,95,79,83,Kanpur
1121,Student_121,M,16,11,55,77,87,92,Ghaziabad
1122,Student_122,F,16,11,39,93,46,80,Jaipur
1123,Student_123,M,16,11,86,100,35,91,Ghaziabad
1124,Student_124,M,16,11,59,81,98,90,Ghaziabad
1125,Student_125,M,15,10,69,51,71,84,Ghaziabad
1126,Student_126,M,15,10,65,55,74,87,Delhi
1127,Student_127,F,17,12,46,63,49,84,Noida
1128,Student_128,M,17,12,98,72,100,92,Jaipur
1129,Student_129,F,16,11,95,66,93,87,Gurugram
1130,Student_130,M,16,11,100,52,43,78,Agra
1131,Student_131,F,16,11,35,71,73,96,Ghaziabad
1132,Student_132,F,15,10,96,79,77,87,Agra
1133,Student_133,F,16,11,59,65,84,77,Agra
1134,Student_134,F,15,10,95,83,84,91,Gurugram
1135,Student_135,M,16,11,51,99,77,97,Noida
1136,Student_136,M,16,11,93,36,53,83,Gurugram
1137,Student_137,F,15,10,68,78,85,90,Noida
1138,Student_138,F,16,11,75,97,39,89,Noida
1139,Student_139,F,15,10,64,46,90,73,Noida
1140,Student_140,M,16,11,73,38,40,80,Delhi
1141,Student_141,F,16,11,82,90,53,77,Agra
1142,Student_142,M,17,12,56,57,45,89,Agra
1143,Student_143,M,17,12,98,53,64,84,Jaipur
1144,Student_144,F,16,11,36,94,71,91,Gurugram
1145,Student_145,F,15,10,79,73,89,92,Jaipur
1146,Student_146,F,16,11,60,84,96,73,Lucknow
1147,Student_147,F,16,11,72,72,37,96,Agra
1148,Student_148,M,16,11,41,98,71,94,Lucknow
1149,Student_149,F,17,12,63,59,67,91,Gurugram
1150,Student_150,M,17,12,40,74,91,71,Kanpur
1151,Student_151,M,17,12,46,72,76,93,Agra
1152,Student_152,M,15,10,51,81,99,99,Jaipur
1153,Student_153,F,15,10,96,72,78,95,Noida
1154,Student_154,M,16,11,53,63,85,100,Kanpur
1155,Student_155,F,15,10,36,68,50,84,Kanpur
1156,Student_156,F,17,12,83,82,48,91,Lucknow
1157,Student_157,M,16,11,76,63,43,90,Ghaziabad
1158,Student_158,F,17,12,87,49,52,71,Delhi
1159,Student_159,F,16,11,49,47,65,98,Gurugram
1160,Student_160,F,16,11,82,88,54,98,Agra
1161,Student_161,M,17,12,97,87,70,71,Kanpur
1162,Student_162,F,15,10,91,65,81,73,Kanpur
1163,Student_163,F,17,12,42,85,70,76,Noida
1164,Student_164,M,16,11,62,37,41,95,Kanpur
1165,Student_165,M,15,10,61,43,61,88,Lucknow
1166,Student_166,F,15,10,53,35,70,97,Gurugram
1167,Student_167,F,15,10,57,49,38,74,Delhi
1168,Student_168,M,16,11,76,37,57,78,Delhi
1169,Student_169,F,15,10,49,43,95,84,Kanpur
1170,Student_170,M,17,12,92,99,63,100,Delhi
1171,Student_171,F,17,12,93,38,42,85,Agra
1172,Student_172,M,16,11,97,91,44,98,Noida
1173,Student_173,M,16,11,43,51,70,89,Kanpur
1174,Student_174,F,16,11,93,99,90,73,Noida
1175,Student_175,M,17,12,90,92,64,83,Kanpur
1176,Student_176,F,16,11,88,47,75,83,Kanpur
1177,Student_177,F,17,12,82,54,95,72,Noida
1178,Student_178,M,15,10,90,47,82,95,Gurugram
1179,Student_179,M,17,12,77,50,87,81,Agra
1180,Student_180,M,17,12,71,74,80,73,Lucknow
1181,Student_181,F,15,10,63,48,79,97,Kanpur
1182,Student_182,F,15,10,63,89,38,89,Jaipur
1183,Student_183,M,15,10,69,74,78,81,Delhi
1184,Student_184,M,15,10,86,43,53,93,Delhi
1185,Student_185,M,15,10,83,88,93,80,Gurugram
1186,Student_186,F,16,11,76,45,41,74,Gurugram
1187,Student_187,M,17,12,45,69,91,91,Agra
1188,Student_188,F,16,11,88,69,62,94,Noida
1189,Student_189,F,16,11,49,71,97,86,Jaipur
1190,Student_190,M,15,10,85,42,35,76,Jaipur
1191,Student_191,M,15,10,67,72,76,73,Delhi
1192,Student_192,F,16,11,57,51,83,87,Lucknow
1193,Student_193,F,17,12,44,85,40,83,Delhi
1194,Student_194,M,16,11,75,89,86,92,Agra
1195,Student_195,M,16,11,86,37,76,75,Ghaziabad
1196,Student_196,F,17,12,46,90,48,77,Agra
1197,Student_197,F,17,12,45,85,74,93,Kanpur
1198,Student_198,F,15,10,56,44,100,90,Noida
1199,Student_199,M,17,12,79,79,53,77,Noida
1200,Student_200,F,15,10,60,57,54,94,Noida
1201,Student_201,F,15,10,94,92,76,97,Kanpur
1202,Student_202,F,15,10,43,95,91,90,Jaipur
1203,Student_203,M,16,11,80,99,44,79,Ghaziabad
1204,Student_204,M,16,11,42,82,71,72,Noida
1205,Student_205,F,17,12,94,40,92,99,Lucknow
1206,Student_206,F,16,11,99,54,42,84,Noida
1207,Student_207,M,16,11,99,57,40,77,Ghaziabad
1208,Student_208,M,16,11,81,82,71,82,Agra
1209,Student_209,M,16,11,77,43,77,73,Agra
1210,Student_210,F,16,11,54,77,45,88,Gurugram
1211,Student_211,F,16,11,85,51,45,79,Agra
1212,Student_212,F,17,12,51,46,89,86,Kanpur
1213,Student_213,F,15,10,74,58,62,80,Ghaziabad
1214,Student_214,M,15,10,52,54,44,79,Noida
1215,Student_215,M,17,12,78,51,83,74,Gurugram
1216,Student_216,M,15,10,91,40,87,81,Lucknow
1217,Student_217,F,16,11,92,64,65,79,Ghaziabad
1218,Student_218,F,15,10,91,94,71,94,Agra
1219,Student_219,F,17,12,55,60,52,97,Jaipur
1220,Student_220,F,15,10,82,48,50,79,Noida
1221,Student_221,F,15,10,92,100,53,96,Agra
1222,Student_222,M,15,10,92,79,38,83,Delhi
1223,Student_223,F,16,11,65,84,45,81,Lucknow
1224,Student_224,F,15,10,47,77,53,74,Delhi
1225,Student_225,F,16,11,52,95,92,89,Delhi
1226,Student_226,M,15,10,67,62,54,87,Agra
1227,Student_227,F,15,10,65,73,50,71,Lucknow
1228,Student_228,F,16,11,43,49,98,89,Delhi
1229,Student_229,M,17,12,53,72,89,70,Kanpur
1230,Student_230,F,15,10,58,45,81,72,Delhi
1231,Student_231,F,16,11,40,84,82,78,Delhi
1232,Student_232,M,16,11,79,65,48,94,Kanpur
1233,Student_233,M,15,10,80,78,57,96,Ghaziabad
1234,Student_234,F,17,12,58,52,43,92,Ghaziabad
1235,Student_235,F,15,10,60,40,60,98,Delhi
1236,Student_236,F,16,11,100,85,95,78,Delhi
1237,Student_237,M,17,12,71,80,41,97,Kanpur
1238,Student_238,M,16,11,82,90,86,93,Ghaziabad
1239,Student_239,F,16,11,58,98,98,81,Jaipur
1240,Student_240,F,15,10,45,90,58,87,Jaipur
1241,Student_241,M,16,11,45,76,72,79,Ghaziabad
1242,Student_242,F,17,12,56,91,79,84,Delhi
1243,Student_243,F,17,12,90,70,42,72,Agra
1244,Student_244,M,16,11,38,53,91,71,Gurugram
1245,Student_245,M,15,10,81,81,84,100,Delhi
1246,Student_246,M,17,12,92,82,82,84,Noida
1247,Student_247,M,17,12,81,85,75,90,Jaipur
1248,Student_248,M,15,10,38,58,98,86,Agra
1249,Student_249,M,17,12,68,68,92,76,Jaipur
1250,Student_250,F,17,12,60,50,52,97,Noida
1251,Student_251,M,16,11,91,46,75,91,Kanpur
1252,Student_252,M,17,12,72,73,55,92,Gurugram
1253,Student_253,M,16,11,50,60,52,77,Ghaziabad
1254,Student_254,F,15,10,82,94,51,89,Noida
1255,Student_255,F,15,10,85,96,87,94,Agra
1256,Student_256,M,17,12,51,75,44,84,Ghaziabad
1257,Student_257,F,17,12,51,58,51,83,Delhi
1258,Student_258,M,15,10,73,56,55,80,Lucknow
1259,Student_259,F,16,11,45,67,60,90,Jaipur
1260,Student_260,F,15,10,46,99,56,88,Gurugram
1261,Student_261,F,15,10,40,38,45,71,Jaipur
1262,Student_262,M,17,12,88,38,98,98,Jaipur
1263,Student_263,F,17,12,96,66,86,79,Ghaziabad
1264,Student_264,M,15,10,55,91,88,85,Ghaziabad
1265,Student_265,F,15,10,53,75,75,93,Kanpur
1266,Student_266,M,16,11,82,100,48,80,Lucknow
1267,Student_267,M,16,11,69,92,66,74,Noida
1268,Student_268,F,15,10,84,88,66,100,Gurugram
1269,Student_269,F,16,11,59,55,98,86,Ghaziabad
1270,Student_270,F,16,11,98,37,46,100,Agra
1271,Student_271,F,17,12,65,62,80,71,Delhi
1272,Student_272,F,16,11,95,71,36,97,Noida
1273,Student_273,M,16,11,68,81,86,81,Delhi
1274,Student_274,M,16,11,59,81,71,72,Agra
1275,Student_275,F,17,12,70,50,51,73,Agra
1276,Student_276,F,16,11,81,53,60,89,Agra
1277,Student_277,M,17,12,40,39,52,92,Kanpur
1278,Student_278,F,16,11,54,100,52,80,Kanpur
1279,Student_279,F,15,10,73,78,99,96,Ghaziabad
1280,Student_280,F,17,12,95,37,82,80,Noida
1281,Student_281,F,16,11,38,95,68,100,Lucknow
1282,Student_282,M,17,12,96,56,83,74,Lucknow
1283,Student_283,M,15,10,59,37,91,80,Agra
1284,Student_284,F,15,10,61,87,99,94,Ghaziabad
1285,Student_285,M,17,12,52,61,76,91,Ghaziabad
1286,Student_286,F,17,12,75,57,93,99,Kanpur
1287,Student_287,F,17,12,68,96,59,100,Lucknow
1288,Student_288,F,16,11,63,73,71,92,Lucknow
1289,Student_289,F,17,12,75,96,79,87,Jaipur
1290,Student_290,M,16,11,83,85,79,100,Gurugram
1291,Student_291,M,16,11,71,45,79,99,Ghaziabad
1292,Student_292,F,17,12,96,62,60,96,Jaipur
1293,Student_293,F,17,12,52,48,65,77,Delhi
1294,Student_294,M,17,12,64,41,47,83,Kanpur
1295,Student_295,F,17,12,47,52,35,100,Gurugram
1296,Student_296,F,16,11,96,60,71,80,Jaipur
1297,Student_297,M,17,12,46,64,39,99,Gurugram
1298,Student_298,M,16,11,39,85,98,75,Jaipur
1299,Student_299,M,15,10,73,48,77,79,Ghaziabad
1300,Student_300,F,17,12,52,99,94,78,Lucknow
1301,Student_301,F,15,10,55,93,67,92,Gurugram
1302,Student_302,F,15,10,72,59,57,89,Agra
1303,Student_303,F,16,11,46,86,47,75,Gurugram
1304,Student_304,F,16,11,66,35,68,82,Lucknow
1305,Student_305,F,16,11,77,73,36,78,Kanpur
1306,Student_306,M,17,12,42,50,94,79,Gurugram
1307,Student_307,F,16,11,50,72,82,89,Lucknow
1308,Student_308,M,15,10,96,54,93,93,Kanpur
1309,Student_309,F,16,11,62,66,45,86,Ghaziabad
1310,Student_310,F,17,12,44,49,42,96,Lucknow
1311,Student_311,M,17,12,56,76,91,73,Lucknow
1312,Student_312,F,17,12,46,100,92,95,Delhi
1313,Student_313,M,16,11,100,88,93,88,Delhi
1314,Student_314,F,17,12,74,37,85,78,Delhi
1315,Student_315,M,17,12,44,40,89,81,Noida
1316,Student_316,M,17,12,43,95,39,79,Agra
1317,Student_317,M,15,10,88,82,83,84,Agra
1318,Student_318,M,16,11,52,79,50,75,Agra
1319,Student_319,M,17,12,63,35,37,79,Ghaziabad
1320,Student_320,F,17,12,83,64,66,84,Kanpur
1321,Student_321,F,15,10,59,49,39,95,Agra
1322,Student_322,M,17,12,65,61,43,73,Delhi
1323,Student_323,M,16,11,66,40,86,84,Lucknow
1324,Student_324,M,17,12,42,52,99,79,Lucknow
1325,Student_325,F,17,12,76,65,73,98,Gurugram
1326,Student_326,M,17,12,87,73,70,71,Gurugram
1327,Student_327,F,17,12,98,41,79,100,Agra
1328,Student_328,F,17,12,88,87,54,79,Agra
1329,Student_329,F,15,10,65,63,73,97,Gurugram
1330,Student_330,M,16,11,87,88,52,82,Lucknow
1331,Student_331,M,16,11,77,45,92,97,Kanpur
1332,Student_332,M,15,10,41,69,83,91,Delhi
1333,Student_333,M,15,10,62,96,61,97,Kanpur
1334,Student_334,M,16,11,62,59,50,93,Ghaziabad
1335,Student_335,M,15,10,85,65,76,94,Jaipur
1336,Student_336,F,16,11,80,74,68,81,Ghaziabad
1337,Student_337,M,16,11,95,75,61,81,Kanpur
1338,Student_338,M,16,11,63,53,37,78,Agra
1339,Student_339,M,16,11,60,77,64,82,Lucknow
1340,Student_340,F,16,11,67,97,97,84,Gurugram
1341,Student_341,F,17,12,56,52,97,75,Delhi
1342,Student_342,M,17,12,44,41,35,83,Gurugram
1343,Student_343,M,17,12,43,54,36,76,Ghaziabad
1344,Student_344,M,16,11,96,97,37,70,Agra
1345,Student_345,M,15,10,70,71,37,86,Agra
1346,Student_346,M,15,10,47,54,65,76,Jaipur
1347,Student_347,F,16,11,85,45,82,100,Agra
1348,Student_348,M,16,11,63,73,45,90,Delhi
1349,Student_349,F,15,10,83,83,95,71,Delhi
1350,Student_350,M,17,12,45,98,90,90,Kanpur
1351,Student_351,M,17,12,40,64,62,98,Ghaziabad
1352,Student_352,M,16,11,44,70,39,75,Kanpur
1353,Student_353,M,15,10,53,85,44,79,Gurugram
1354,Student_354,M,17,12,84,77,84,94,Gurugram
1355,Student_355,M,17,12,99,79,41,73,Agra
1356,Student_356,M,15,10,78,85,76,70,Jaipur
1357,Student_357,F,16,11,64,80,83,83,Gurugram
1358,Student_358,F,17,12,45,72,66,92,Noida
1359,Student_359,F,15,10,54,83,54,93,Agra
1360,Student_360,F,16,11,48,46,35,100,Jaipur
1361,Student_361,F,16,11,69,48,51,72,Gurugram
1362,Student_362,F,16,11,100,87,48,70,Noida
1363,Student_363,M,16,11,76,84,36,79,Agra
1364,Student_364,M,16,11,66,56,83,75,Gurugram
1365,Student_365,F,16,11,69,98,53,72,Gurugram
1366,Student_366,F,16,11,88,73,96,95,Noida
1367,Student_367,F,16,11,66,98,60,84,Noida
1368,Student_368,F,15,10,35,85,77,96,Agra
1369,Student_369,F,16,11,77,90,52,79,Kanpur
1370,Student_370,M,17,12,96,75,57,100,Agra
1371,Student_371,F,16,11,97,66,76,82,Jaipur
1372,Student_372,F,16,11,49,60,58,91,Delhi
1373,Student_373,F,17,12,61,91,72,96,Noida
1374,Student_374,F,16,11,52,73,65,78,Gurugram
1375,Student_375,F,17,12,83,44,92,89,Ghaziabad
1376,Student_376,F,17,12,99,88,39,95,Kanpur
1377,Student_377,M,17,12,48,66,80,75,Delhi
1378,Student_378,F,17,12,77,90,48,70,Noida
1379,Student_379,M,16,11,100,63,92,81,Agra
1380,Student_380,M,16,11,79,38,96,73,Jaipur
1381,Student_381,M,16,11,49,53,79,79,Kanpur
1382,Student_382,M,16,11,96,79,95,73,Ghaziabad
1383,Student_383,F,17,12,75,43,73,71,Noida
1384,Student_384,F,15,10,48,56,66,86,Gurugram
1385,Student_385,M,17,12,77,89,94,77,Agra
1386,Student_386,M,17,12,58,90,85,70,Lucknow
1387,Student_387,F,16,11,84,35,62,76,Jaipur
1388,Student_388,M,17,12,48,58,81,80,Lucknow
1389,Student_389,M,16,11,68,97,75,89,Agra
1390,Student_390,F,17,12,49,79,80,97,Ghaziabad
1391,Student_391,M,17,12,73,45,52,80,Noida
1392,Student_392,F,15,10,49,58,82,92,Gurugram
1393,Student_393,F,17,12,88,52,84,83,Gurugram
1394,Student_394,M,16,11,56,97,71,74,Gurugram
1395,Student_395,F,16,11,41,80,36,85,Gurugram
1396,Student_396,F,15,10,99,98,87,91,Ghaziabad
1397,Student_397,F,16,11,97,56,45,88,Delhi
1398,Student_398,F,15,10,39,70,63,87,Jaipur
1399,Student_399,F,15,10,98,100,49,88,Noida
1400,Student_400,F,16,11,40,91,62,83,Noida
1401,Student_401,M,17,12,73,39,92,78,Kanpur
1402,Student_402,F,15,10,50,65,61,95,Kanpur
1403,Student_403,F,17,12,56,52,61,96,Lucknow
1404,Student_404,F,15,10,70,56,76,92,Jaipur
1405,Student_405,F,16,11,100,47,52,100,Agra
1406,Student_406,F,15,10,51,51,66,74,Kanpur
1407,Student_407,F,15,10,97,53,69,90,Agra
1408,Student_408,F,16,11,44,46,86,86,Jaipur
1409,Student_409,F,17,12,93,97,76,88,Delhi
1410,Student_410,M,17,12,93,80,43,95,Agra
1411,Student_411,F,15,10,62,98,69,80,Jaipur
1412,Student_412,M,16,11,97,78,41,71,Noida
1413,Student_413,F,17,12,37,50,55,84,Ghaziabad
1414,Student_414,F,15,10,60,51,73,75,Jaipur
1415,Student_415,F,15,10,67,45,82,91,Gurugram
1416,Student_416,F,15,10,74,64,89,90,Noida
1417,Student_417,M,17,12,35,62,96,72,Gurugram
1418,Student_418,M,17,12,91,36,36,92,Kanpur
1419,Student_419,F,15,10,51,96,44,77,Agra
1420,Student_420,M,15,10,48,75,82,98,Jaipur
1421,Student_421,F,15,10,52,53,43,86,Delhi
1422,Student_422,M,17,12,91,79,62,90,Gurugram
1423,Student_423,F,16,11,62,46,47,74,Noida
1424,Student_424,F,17,12,79,89,75,95,Gurugram
1425,Student_425,F,15,10,45,66,71,94,Delhi
1426,Student_426,F,17,12,61,100,59,93,Agra
1427,Student_427,M,16,11,65,98,84,73,Lucknow
1428,Student_428,M,16,11,36,81,75,74,Agra
1429,Student_429,F,17,12,81,57,95,100,Noida
1430,Student_430,M,15,10,36,68,62,71,Delhi
1431,Student_431,F,16,11,99,88,89,92,Agra
1432,Student_432,M,15,10,70,45,74,72,Lucknow
1433,Student_433,F,15,10,85,43,74,92,Agra
1434,Student_434,M,17,12,42,66,46,99,Agra
1435,Student_435,F,15,10,42,74,57,73,Delhi
1436,Student_436,M,17,12,36,55,98,100,Kanpur
1437,Student_437,F,17,12,56,82,51,93,Jaipur
1438,Student_438,M,17,12,38,77,89,78,Noida
1439,Student_439,M,16,11,98,93,100,81,Delhi
1440,Student_440,M,16,11,82,55,67,94,Noida
1441,Student_441,M,17,12,64,100,35,71,Delhi
1442,Student_442,M,15,10,95,81,84,99,Gurugram
1443,Student_443,M,15,10,88,63,76,77,Agra
1444,Student_444,F,17,12,69,44,82,73,Delhi
1445,Student_445,M,15,10,40,86,43,98,Ghaziabad
1446,Student_446,F,16,11,76,46,93,70,Kanpur
1447,Student_447,F,15,10,73,66,94,81,Ghaziabad
1448,Student_448,M,15,10,54,35,87,70,Lucknow
1449,Student_449,F,17,12,36,77,35,94,Agra
1450,Student_450,F,17,12,48,61,65,83,Ghaziabad
1451,Student_451,M,15,10,70,46,40,99,Lucknow
1452,Student_452,F,17,12,82,93,45,88,Noida
1453,Student_453,M,17,12,85,44,42,83,Gurugram
1454,Student_454,F,15,10,68,75,85,92,Kanpur
1455,Student_455,F,16,11,69,64,44,100,Lucknow
1456,Student_456,M,15,10,54,48,56,84,Ghaziabad
1457,Student_457,F,16,11,50,80,61,84,Jaipur
1458,Student_458,F,16,11,50,46,55,95,Jaipur
1459,Student_459,M,17,12,62,76,53,72,Lucknow
1460,Student_460,F,16,11,100,41,73,78,Gurugram
1461,Student_461,F,15,10,92,66,47,84,Noida
1462,Student_462,M,15,10,36,42,63,74,Lucknow
1463,Student_463,F,16,11,45,68,44,70,Noida
1464,Student_464,F,15,10,51,46,77,73,Delhi
1465,Student_465,M,16,11,56,90,85,85,Delhi
1466,Student_466,F,16,11,57,80,62,99,Gurugram
1467,Student_467,F,16,11,92,54,39,89,Lucknow
1468,Student_468,F,17,12,98,87,96,71,Noida
1469,Student_469,F,16,11,52,88,60,90,Lucknow
1470,Student_470,M,17,12,83,80,96,87,Ghaziabad
1471,Student_471,F,16,11,84,69,58,70,Kanpur
1472,Student_472,M,17,12,38,70,42,95,Ghaziabad
1473,Student_473,F,17,12,64,55,47,77,Lucknow
1474,Student_474,M,16,11,63,84,80,99,Gurugram
1475,Student_475,M,15,10,75,80,38,92,Kanpur
1476,Student_476,M,17,12,59,98,74,75,Ghaziabad
1477,Student_477,M,15,10,42,64,63,70,Ghaziabad
1478,Student_478,F,15,10,60,51,78,92,Gurugram
1479,Student_479,M,16,11,37,53,53,94,Noida
1480,Student_480,F,17,12,44,82,85,88,Noida
1481,Student_481,F,16,11,76,52,55,93,Agra
1482,Student_482,F,17,12,75,57,80,77,Gurugram
1483,Student_483,F,16,11,72,51,57,93,Delhi
1484,Student_484,F,17,12,39,58,75,99,Lucknow
1485,Student_485,M,17,12,98,53,77,93,Noida
1486,Student_486,F,15,10,75,56,46,96,Kanpur
1487,Student_487,M,16,11,68,61,66,92,Noida
1488,Student_488,F,16,11,48,35,41,82,Ghaziabad
1489,Student_489,F,17,12,56,87,98,98,Agra
1490,Student_490,F,16,11,47,96,63,75,Ghaziabad
1491,Student_491,M,15,10,72,37,75,78,Noida
1492,Student_492,F,15,10,56,83,55,93,Noida
1493,Student_493,M,17,12,78,96,38,83,Gurugram
1494,Student_494,F,17,12,55,41,47,80,Lucknow
1495,Student_495,F,15,10,68,71,73,77,Noida
1496,Student_496,F,15,10,97,54,41,81,Delhi
1497,Student_497,M,16,11,72,96,60,73,Delhi
1498,Student_498,M,15,10,72,45,95,97,Noida
1499,Student_499,F,16,11,95,97,68,72,Agra
1500,Student_500,F,15,10,83,82,58,84,Delhi
